id,POI/street
0,/s. par 53 sidanegara
1,"/angg per, baloi indah"
2,"laun,/asma"
3,"agung rej,/ud sri wedari"
4,"/cut mutia, 35 baiturrahman"
5,ala/pem gar no
6,"mara,/tb."
7,"taman beji tista,/pura"
8,/mangkura
9,/raya won wonotunggal
10,/tebet
11,"/kemur viii, no 95 glodok"
12,"farma,/kimia"
13,lata/war
14,"teddy raya/toko pan jakat,"
15,"bina ban, raya/slb"
16,"laun/dimas ii, katonsari"
17,"/waroeng 3, 23"
18,/pasar pagi raya 78
19,/dens
20,/jatikarya rt 1 6 17435
21,"rachma,/ser aswan no 66"
22,/pendowo bodeh
23,/tebet barat tebet barat vi no 12
24,"/kelapa kir timur vi, rw"
25,/kp
26,/raya bant
27,/pulo mas barat vi kayu
28,/kota
29,/ki ageng peman 30
30,/lemb
31,o1 rt.48 rw.09 kel.karya baru/jln.hbr motik komplek griya asri mandiri blok
32,/tanjung mah 9 20122 medan
33,/pab bintaro
34,/cihuni iii 27 pagedangan
35,"pos indonesia taman/museum cib, cihapit"
36,/m.
37,"/ged hijau viii, 8"
38,puri citra blok/komplek
39,/telajung - bek no 32 17320 cikarang barat
40,cikitsu jl abu 1/ruko 29433
41,"/rogo jampi, sumurpanggang"
42,"/letj supr,"
43,/mand sela iii tomang
44,"no 69.d , kelurahan parit/jl. jl. letjen sutoyo, karya baru"
45,"/alva,"
46,/daya paru 43
47,"pasar raya/rezi,"
48,/cv
49,/vete 42 beriwit
50,/kenari saleh raya 6
51,/bhin karya karamat
52,huda badang/mas
53,"/mahk rege, no c1 1"
54,/karangayu 250 rw 1 semarang
55,bakar slahonje taman hara baru 281/ayam 17181
56,/cileunyi no 6 40622
57,/kampung wahid has 178 rt
58,rt 01 rw/dsn
59,/raya kapas kalianyar kapas
60,/pal xi 11-13
61,"/cibi, kertamukti cibitung"
62,hidayatul ummah mast warugunung/lang
63,/tanjung
64,/lele 35
65,/jamba no 91
66,"/perw, pelawi"
67,"/pulau bida, 22 neglasari rt"
68,"/par sarpo i,"
69,"/desa ken, 3 tulis"
70,kiev blok/taman
71,/ud mayapur candra raya kapal kapal
72,/derm lonc no 8
73,"jero, rt rw/kp"
74,/mla iii 102 mlatibaru
75,"sukamantri/raya band, no 3"
76,"lilin, pan indah/aneka kapuk boule"
77,/mannu 11a rt
78,/klam jaya 72 klampis
79,"/mojolangu b, 25 lowokwaru"
80,/kapas utara vi gebangsari
81,/komo halim perd kus 29 kebon
82,/cilobak 4 49 pangkalan
83,/gg. wono 9 karang berombak medan
84,"/mue i, qq 1 7"
85,"musi/pem raya, pal meriem"
86,"pak budi, jend sudi,/kateguhan"
87,"wahana cikarang,/perumahan"
88,"bukit raya/h imam muna, no 65"
89,/gg. buntu lemahabang wetan lemahabang
90,/koperasi cikembar
91,"abadi. pt bun raya per, rw/ragunan 12550"
92,/kenc utama ii kembangan
93,/kali dha vi no 19
94,/rorotan h. asmat 15 rt 5 4 cilincing
95,/20 dese 15 rt
96,/nila 64
97,"/raya pasar kec,"
98,"/lin ren tembil smk pekantua,"
99,"/pelor, kampung melayu"
100,"bule utara/tiki, kelapa gad, kelapa gading timur"
101,61151/sate
102,/jl.a dah 9 kramat pela
103,fun rck/cafe
104,/wonosari 22 wonosari
105,/tham 5 49
106,/jogoka mantrijeron
107,"on cell, pasundan no/move 1 75123"
108,"/lat sim, klaten"
109,"putih marg,/sutra depok"
110,/singojuruh
111,/tanjungsari 1 no 29
112,/petojo 1 rt 12
113,negeri 3 seunuddon 24393 seunuddon (seunudon)/sd
114,/mel 2 27
115,"cibinong/mand raya, no 12"
116,/ringinrejo 64176 ringinrejo
117,"/ade cell maos raya maos kidul,"
118,/taman nyiur 12 12b sunter
119,teratai banua padang bungur/tk
120,/sabdodadi no 7 55715 bantul
121,/jalan affa no
122,/monu emmy sae 66 gunung sari
123,"als box, beng,/terapi wetan"
124,/rawa 7 rt
125,/sitin jo no 97
126,indo american leasing./first 5 rw 9 sukolilo
127,"motor abang, kasomalang/cuci"
128,/karangpoh 1 tandes
129,"/rawa baha raya, grogol"
130,/cilame 44 ngamprah
131,"dip,/califo"
132,/sisin no 315
133,sinar mand tek/cv.
134,"ayam, warga,/bubur"
135,/desa
136,/pluit 80 pluit rt
137,"/sel, 156 sukabumi"
138,/dewa ruci iii 9 setiamekar
139,/gg. h. yasin iii 462 sukabungah sukajadi
140,/jl. komp. puri bint pb7a no15 sawah baru ciputat
141,/air camar 8
142,juwana/kli
143,/sisun
144,"/tan baru v, no 64"
145,/agen
146,"kuni siliw,/griya"
147,"/cita, no 71"
148,residence no c.07/panorama
149,/dawuan kel. raya ten tani no 18
150,/bunder cikupa
151,"/komp perdag per, pangeran kel."
152,"hanny siti, kerta/notaris"
153,/kedunghalang 2
154,"stic/karya 150, aek"
155,/suka iii paninggilan
156,"/tanjung view, 10 90224"
157,"/jatil raya, no 41 jakasampurna"
158,"/gg. djuli, 3 cisarua cikole"
159,/by pass ngu rai 46 benoa
160,/es
161,/marga 13
162,/bida ayu pintu 3 84 mangsang
163,"/jela sela 15,"
164,/pisa baru ten 2 pisangan
165,"/surya suj, bandar selamat"
166,"s/wis v, waru"
167,"kota baru indah medan,/sumber"
168,/bank pengasinan
169,"pie susu & lapis legit by pass ngu/balilaris rai, kuta"
170,/pahl trip oro-oro dowo
171,"tour ir. h./manta jua iii,"
172,"/raya bek, 45 1"
173,/toko 80a 2
174,/keta kali 71
175,"/5000 toko, pon"
176,"susu bat/toko hamb, tugu cimanggis"
177,"zakia madani, jl. cendrawasih raya,blok c/griya 7"
178,/nanas vii no
179,"/jl. krap gg. i, no 7 merbung ruko perum krapyak, citra indah"
180,"4, jl/bca 30, pasar pagi"
181,/cipamokolan 13 rancasari
182,"salju pw jend/pencucian a yani,"
183,"/fel, ploso tambaksari"
184,/sei medan
185,/ism kebayoran
186,/poris plawad utara kel.
187,"di yogyakarta, ban, gedongkiwo/dpd"
188,/griya kebr sela viii 8 kebraon 12
189,"makmur jend gatot/karang subr, no 81"
190,kel./tulung
191,/ruko 8
192,"/rati, kar anyar e, no 41 rw 5"
193,/nuri i 12
194,/pasirwangi 40618
195,/waturen
196,"/jaksa agung suprapto, 11 gabu alat"
197,"abata, pramuka, 105 purwokerto/cv. kulon"
198,"/kerja bakti 3,"
199,"/peri kem, no 24d"
200,c20 no 20/de
201,/kebon 1 rt
202,/cilodong senin 25 cilodong
203,"/cipulir ii, 14 rw 3"
204,wijono dr man besar/kunto 7 tangki
205,"husein & co drs, tol caw pluit,/bachsyaini"
206,/ngareanak 51382 singorojo
207,/cipa 383 kujangsari
208,/r suka 23
209,/karanganyar raya cina rt
210,mari/bin raya no 6
211,gepuk pak blan dr./ayam semarang selatan
212,/kali udik iii 16 nyamplungan
213,/sukosewu
214,/gayam 2a 57514 sukoharjo
215,"gemi,/toko"
216,/girimoyo 65152 karangploso
217,"permai b-3, jl./depok"
218,/pondok raya 81 pamulang
219,"al-muttaqin dukuh rejosari,/masjid"
220,/limau 69 binjai barat
221,"telkomsel, tanjungpura-simpang pangk susu,/mutiara 20856"
222,sinar buduran iii block a16 jl raya/pt
223,/gg. st. ibu ii kedamaian tanjung karang timur
224,/jln karya baru no
225,/bajulmati
226,/pettuadae turikale
227,/suka maju
228,"der sum, bofet reflina, sirih sekapur/siu"
229,"/cib, lagadar"
230,/raya ker suralaga
231,/abel no 88
232,/meruya bahr 3-13 rt 4 2 kembangan
233,/aup barat iii 21-22 rt
234,"indonesia sekar jagad, ame/sinduadi pecinta batik ix, no 68"
235,/simpang
236,/kramat
237,"tenun suka,/munawa,"
238,/embong 16-a 8 60271 genteng
239,"/cnt, cimahi tengah"
240,"/margo, margorejo kel. wonocolo"
241,/raya pamu per pamulang barat
242,citra blok a/(
243,/gajah mada 88
244,/mranggen
245,"yoga, lin/kios sekijang"
246,bea cukai sukapura.jl.siak/komplek warna
247,"/desa hur, marancar"
248,/rest
249,/gabus 87
250,"dewa dep/optical neg, pekan sabtu"
251,hills jl/seruni swadaya 3 rt
252,/tebet
253,"said, lin sumb/amaq kolong"
254,/pamulang no 87
255,"/pondok r.s. soek, 6-26 rt 4 2 duren"
256,/jatirahayu 18 17414
257,/amp i pademangan
258,/liga raya nusa
259,"sam,/seko"
260,kota/masuk
261,"shop raya cila/k5 k. k. o.,"
262,/slogi 593 babakan ciparay
263,/jl. gn. krak iv b 18 harapan jaya
264,"/gunung mah ix, 30 gununganyar"
265,/gus no 53
266,/bante baru no 42
267,"/nasi 23, 45"
268,/musi 3 58
269,/sumur 60215
270,"/sent, pulo gebang"
271,/taman
272,"tour tra,/ss tegal selatan"
273,/cija hilir no 59a
274,/ketintang ketintang
275,lake residences ruko venice/golf
276,rw/matr dalam polsub
277,/arif rah hakim balai-balai
278,"busana ibu hj tatik urip sumoharjo,/trio wates"
279,/puri tirta kenc no
280,/padema timur 7
281,/jin ubud
282,/jepara masi iii 22 2
283,/aris muna kiduldalem
284,h. has/kope kiwa tapin utara
285,/cikawao 19 40261 lengkong
286,/jl.brigjend katamso singapore station
287,/griya citra pers 8 dawuan
288,re. martadinata/bank no 2a kel sempur
289,02 desa sukamanah/kp.pasir
290,/haji asm beji
291,mulya rt/kp
292,/gg. pd. asri tibubeneng kuta utara
293,/raden kusno terusan mempawah
294,/alun- no 56
295,"/mojoroto 8, 9 mojoroto"
296,"setia,/purwac"
297,/gg. 4 42 kauman prajurit
298,"jaya abadi, indu/nova k2 pasirgombong cikarang"
299,"bowl, letj supr/rice kemayoran"
300,/pasar tuki 132 kota manna
301,/pulo v 9
302,"1,/apo tambora"
303,/bunga ram i 12
304,/kali ten xvii 10
305,/per cilame
306,/jelambar 19 rw
307,"tia air/toko hitam,"
308,/keri 16
309,funky buah batu/psyco
310,sampurna indah blok f/graha
311,/kedon pejuang medan
312,/daksa barat no 24
313,"afra, raya/seller serang"
314,putri bang/dua pagelaran
315,"residence ii, elang,/sayang"
316,"pengumben, joglo raya,/toko"
317,/menanggal gg. ang no 14 c rt 3
318,/ken 3 pekayon
319,"/haji m joni, no 151 medan"
320,"pad, raya/rm."
321,"/anti, jayamukti"
322,"/vete, no 62i rt"
323,"/jl. dr. wahi sudi i, no 154 toko kelontong, kepatihan"
324,iii/rum
325,/makam 7
326,/jalan raya
327,/grogol 3 27
328,/lalang no 26 medan sunggal
329,"burger, 5 rambutan ciracas/tanah merd, no 64a"
330,/duren inten ii 3
331,situsari permai blok a7 no13/graha
332,/setu 23 rt
333,/seram baru 52
334,"/sut sisw, 16 huta tonga"
335,"/sat kulon 2,"
336,"/kafe om kumis, kelur batu kota, batu"
337,/boto lempa 6 baru
338,65154/sumberpasir
339,jend sudi 18/nagri 41111 purwakarta
340,"jp, per,/toko"
341,/agung 45
342,/lebak raya 1
343,/nasi iii 717
344,/dr. wahi s 19 sungai jawi
345,/tugu 82 16451
346,/saripan 62 jepara
347,gajah mada no/kop 39 madawat
348,/tpa
349,/kedam no 23
350,/kiv
351,/kamp bal sela pabuaran
352,"/kepa duri mas, no 13d"
353,"tami, dr budi/agen"
354,/gg. gajah mada 9 benua melayu
355,/poris 5 3
356,"/raya rancas, no 10 mandalasari"
357,"sedati, raya pulu, betro sedati/polsek"
358,/gg. nan no 25 70239
359,"keuangan negara manado,/gedung sario manado, kota manado,"
360,/bandar binjai barat
361,bali pasar regional tanah/fachr raya 6 kampung
362,"jl. sahadewa no.7, gianyar,/kantor 80511"
363,/sampiran raya no 17
364,"makan duo ser,/rumah"
365,"nita kenanga,/kopwan"
366,"/gajah mada, asean"
367,/nerogtog rt 4 8
368,/kp.tla gun putri cikeas udik gunung putri
369,"/aes nasu, 16 ace hardware"
370,"/uday,"
371,/desa marbau
372,/pilangsari no 15
373,benang sb purwoasri/toko
374,/bendungan hil 41 rt
375,"/maha iii, pondok"
376,/tera ii jelupang
377,/sarj bawen bawen
378,/mawar ii ngringo
379,/sumi sraten gatak
380,/suk ii no
381,"/nak 4a, no 129 jaka"
382,/cian cibeureum
383,"/usman, no 96"
384,vegetarian stas kota e/hari-hari 20 rw 4
385,/pt.
386,/raya pai sumberanyar
387,"/cluster pot jambu,"
388,/gudang kenc 46
389,/toko catur tunggal
390,/jl. jl. sagan 2e terban gondokusuman
391,"suropati,/sum unt"
392,"martabak, marg, pondok cina/bintang"
393,/a cipinang
394,"/buana asri raya timur, kujangsari"
395,"/tani, pringsewu"
396,/klender rt 9
397,"/kar indah, karawang"
398,"perabot, 26216/kincai"
399,"/suya,"
400,/glugur no 87 medan
401,/med utara iii 40
402,/pulau bida no 27
403,heri wara 8 no/warakas 96 rw
404,"/gg. kal, no 13 medan tenggara"
405,"/dr. cipto, rampal celaket kel."
406,/bambu 82 15415 pamulang
407,"pol,/kantor batang"
408,/pemagarsari 18 16330
409,"/pram, kampung anyar"
410,/smp
411,/kra utara no
412,/jatibening 2 17412
413,"/sea, 63 malalayang"
414,"/gul tung p.o.p,"
415,utara perum griya cend raya 8 rt 1 1/paninggilan ciledug
416,/keta 26
417,/beei no 88 pondok
418,"/perum cika per, 8 situterate rt"
419,/sunter ten e 15 rt
420,"adah 2/raya mauk, smps plus as-sa"
421,/kp.curug
422,/sat i 19a
423,boule timur/alec no 77
424,"/kadipaten sart, 04 62111"
425,kar/pasar bumi
426,"cell, dah/indo"
